sym	zacks	value	growth	momtum	vgm	industry\date
ADAG	3	F	F	B	F	Medical - Biomedical and Genetics
AOSL	5	B	D	F	C	Electronics - Semiconductors
DECK	3	D	F	C	F	Shoes and Retail Apparel
ESEA	3	A	A	C	A	Transportation - Shipping
HALL	5	F	F	D	F	Insurance - Property and Casualty
MUX	3	F	C	A	D	Mining - Miscellaneous
PFGC	2	B	C	B	B	Food - Natural Foods Products
SEMR	3	F	F	B	F	Internet - Software
SYUS	None	None	None	None	None	None
UTHR	2	B	B	A	A	Medical - Drugs
XLC	None	None	None	None	None	None
